"","titulo","titulo original","ano","classificacao","duracao","enredo","nota","diretor","roteristas","poster"
"61","O Iluminado","Original title: The Shining","1980","16","2h 26m","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","8.4","Stanley Kubrick","Stephen King/Stanley Kubrick/Diane Johnson","https://m.media-amazon.com/images/M/MV5BZGExY2QxNjYtZGNkZi00ZThiLWI0MWMtZjEyOGY4MDkyZWUzXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"62","O Grande Ditador","Original title: The Great Dictator","1940","Livre","2h 5m","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","8.4","Charles Chaplin","Charles Chaplin","https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"63","Vingadores: Guerra Infinita","Original title: Avengers: Infinity War","2018","12","2h 29m","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","8.4","Anthony Russo/Joe Russo","Christopher Markus/Stephen McFeely/Stan Lee","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg"
"64","Testemunha de Acusação","Original title: Witness for the Prosecution","1957","12","1h 56m","A veteran British barrister must defend his client in a murder trial that has surprise after surprise.","8.4","Billy Wilder","Agatha Christie/Billy Wilder/Harry Kurnitz","https://m.media-amazon.com/images/M/MV5BNjU2ZWI0NGYtYWRiZC00Nzc0LWJmYzgtZWJkNTZhYTg1YzA4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"65","Homem-Aranha: No Aranhaverso","Original title: Spider-Man: Into the Spider-Verse","2018","12","1h 57m","Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","8.4","Bob Persichetti/Peter Ramsey/Rodney Rothman","Phil Lord/Rodney Rothman","https://m.media-amazon.com/images/M/MV5BMmM0YWUyZjktNGZhOS00Njk1LTk5NWItODE0ZDY2N2I1YzNlXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"66","Aliens, O Resgate","Original title: Aliens","1986","14","2h 17m","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","8.4","James Cameron","James Cameron/David Giler/Walter Hill","https://m.media-amazon.com/images/M/MV5BZmYzMzhkOTQtMzgwMi00ODExLWFhYjYtYTYzZWY2YjE1YmJhXkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_.jpg"
"67","Beleza Americana","Original title: American Beauty","1999","14","2h 2m","A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","8.3","Sam Mendes","Alan Ball","https://m.media-amazon.com/images/M/MV5BNDk1NWNjMzQtYjEzYy00YzhmLWEzYzgtMGU1NWZiYzljMWNjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"68","Dr. Fantástico","Original title: Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","10","1h 35m","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","8.4","Stanley Kubrick","Stanley Kubrick/Terry Southern/Peter George","https://m.media-amazon.com/images/M/MV5BYWM4NDkwNDAtMmZjZC00YTIxLWI0Y2QtOGYyNzdlMTBhMjc5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"69","Batman: O Cavaleiro das Trevas Ressurge","Original title: The Dark Knight Rises","2012","12","2h 44m","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","8.4","Christopher Nolan","Jonathan Nolan/Christopher Nolan/David S. Goyer","https://m.media-amazon.com/images/M/MV5BZTY5MzJmMTEtM2I2MC00M2UzLTg1NzktOWMzOTVmNzg2MTIxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"70","Bastardos Inglórios","Original title: Inglourious Basterds","2009","18","2h 33m","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","8.3","Quentin Tarantino","Quentin Tarantino","https://m.media-amazon.com/images/M/MV5BM2M5YzVlMDctZWI2ZC00MjdlLWE1YzctMTQ5OGQ1NGJhZWMyXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"71","Oldboy","Original title: Oldeuboi","2003","16","2h","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","8.4","Park Chan-wook","Garon Tsuchiya/Nobuaki Minegishi/Park Chan-wook","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg"
"72","Amadeus","Amadeus","1984","Livre","2h 40m","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","8.4","Milos Forman","Peter Shaffer/Zdenek Mahler","https://m.media-amazon.com/images/M/MV5BNzI2MjM5NDEtNjJmZS00NTJiLTlkY2UtYjJhOGViYmU2ZTIxXkEyXkFqcGdeQXVyMTU3NTI2OTky._V1_.jpg"
"73","Viva: A Vida é uma Festa","Original title: Coco","2017","Livre","1h 45m","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","8.4","Lee Unkrich/Adrian Molina","Lee Unkrich/Jason Katz/Matthew Aldrich","https://m.media-amazon.com/images/M/MV5BMDUzZjgzOGUtZmNjOS00NTVlLWI4ZjAtZDg1MTc0NDQyMzU5XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg"
"74","Toy Story","Toy Story","1995","Livre","1h 21m","A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.","8.3","John Lasseter","John Lasseter/Pete Docter/Andrew Stanton","https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg"
"75","Coração Valente","Original title: Braveheart","1995","16","2h 58m","Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","8.3","Mel Gibson","Randall Wallace","https://m.media-amazon.com/images/M/MV5BYmVmYWQ1YzMtYzZmNC00MDFmLWIwNGItOTczZTc0ODM1NDJiXkEyXkFqcGdeQXVyNjgxNzM0NDI@._V1_.jpg"
"76","O Barco: Inferno no Mar","Original title: Das Boot","1981","14","2h 29m","A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.","8.4","Wolfgang Petersen","Wolfgang Petersen/Lothar G. Buchheim","https://m.media-amazon.com/images/M/MV5BMGEwNzBiMWItNmQ1Yi00MzEwLWFkY2ItNWE3NGJhYjEwZmVjXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"77","Coringa","Original title: Joker","2019","16","2h 2m","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","8.4","Todd Phillips","Todd Phillips/Scott Silver/Bob Kane","https://m.media-amazon.com/images/M/MV5BZTk2YmY1OTMtN2NhYi00OGE4LWEwZWEtZDI4YWEyZWJmMWNmXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"78","Vingadores: Ultimato","Original title: Avengers: Endgame","2019","12","3h 1m","After the devastating events of Vingadores: Guerra Infinita (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","8.4","Anthony Russo/Joe Russo","Christopher Markus/Stephen McFeely/Stan Lee","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg"
"79","Princesa Mononoke","Original title: Mononoke-hime","1997","12","2h 14m","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","8.3","Hayao Miyazaki","Hayao Miyazaki/Neil Gaiman","https://m.media-amazon.com/images/M/MV5BNTZkYmI0MmEtNGFlZC00OWZjLWFjMmItMjk1OWZkOWJiZGVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"80","Gênio Indomável","Original title: Good Will Hunting","1997","14","2h 6m","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","8.3","Gus Van Sant","Matt Damon/Ben Affleck","https://m.media-amazon.com/images/M/MV5BOTM0ZmYxMzktNGEwNy00YjUxLWJkZTgtMTI4MTYwZTNlNDQ0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"81","Era uma Vez na América","Original title: Once Upon a Time in America","1984","18","3h 49m","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","8.3","Sergio Leone","Harry Grey/Leonardo Benvenuti/Piero De Bernardi","https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"82","Your Name.","Original title: Kimi no na wa.","2016","Livre","1h 46m","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","8.4","Makoto Shinkai","Makoto Shinkai/Clark Cheng","https://m.media-amazon.com/images/M/MV5BYjAxOGE2YmEtZjc4MS00ZjcxLWI5NTMtNDA2ZGU5ODQ4NTBmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg"
"83","3 Idiotas","Original title: 3 Idiots","2009","12","2h 50m","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","8.4","Rajkumar Hirani","Abhijat Joshi/Rajkumar Hirani/Vidhu Vinod Chopra","https://m.media-amazon.com/images/M/MV5BMWYxZWRiNzQtYTRmMC00MmQ2LTkwMmYtMWYzOTViYTgyMTE1XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_.jpg"
"84","Cantando na Chuva","Original title: Singin' in the Rain","1952","Livre","1h 43m","A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.","8.3","Stanley Donen/Gene Kelly","Betty Comden/Adolph Green","https://m.media-amazon.com/images/M/MV5BMWFmYmQ0YTEtMWExMi00ZjFmLTgyOTQtMDY3M2I2MDViNzgzXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"85","Céu E Inferno","Original title: Tengoku to jigoku","1963","Not Rated","2h 23m","An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.","8.4","Akira Kurosawa","Hideo Oguni/Ryûzô Kikushima/Eijirô Hisaita","https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg"
"86","Réquiem para um Sonho","Original title: Requiem for a Dream","2000","18","1h 42m","The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","8.3","Darren Aronofsky","Hubert Selby Jr./Darren Aronofsky","https://m.media-amazon.com/images/M/MV5BZTRkYTQyZjktNjcxMC00MjU1LWEwMTktMTViNWMwY2UzZDcwXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"87","Toy Story 3","Toy Story 3","2010","Livre","1h 43m","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","8.3","Lee Unkrich","John Lasseter/Andrew Stanton/Lee Unkrich","https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg"
"88","Cafarnaum","Original title: Capharnaüm","2018","16","2h 6m","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","8.4","Nadine Labaki","Nadine Labaki/Jihad Hojeily/Michelle Keserwany","https://m.media-amazon.com/images/M/MV5BOTMzM2IxYTItN2M3OS00MDFhLWJmNDktMmFlNWU0YjgxN2ZiXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"89","Star Wars, Episódio VI: O Retorno do Jedi","Original title: Star Wars: Episode VI - Return of the Jedi","1983","Livre","2h 11m","After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","8.3","Richard Marquand","Lawrence Kasdan/George Lucas","https://m.media-amazon.com/images/M/MV5BMzI0NjA4MjEtNzE4Yi00ZWU5LThjNWItMzcyZjJhNDUzMjhlXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"90","Brilho Eterno de uma Mente sem Lembranças","Original title: Eternal Sunshine of the Spotless Mind","2004","14","1h 48m","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","8.3","Michel Gondry","Charlie Kaufman/Michel Gondry/Pierre Bismuth","https://m.media-amazon.com/images/M/MV5BNGFlMWFlYjAtMjY5ZC00YzRiLWFiN2EtYTQ3ZjE0MWI0YWUxXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"91","2001: Uma Odisséia no Espaço","Original title: 2001: A Space Odyssey","1968","Livre","2h 29m","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.","8.3","Stanley Kubrick","Stanley Kubrick/Arthur C. Clarke","https://m.media-amazon.com/images/M/MV5BMzliZTc2NjItZTZkOC00MDFlLWEwNzAtYzUyZTkzZjhkNTU0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"92","Vá e Veja","Original title: Idi i smotri","1985","18","2h 22m","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","8.4","Elem Klimov","Ales Adamovich/Elem Klimov","https://m.media-amazon.com/images/M/MV5BZmU4YzNkNTEtYThkYS00YWIxLTg5OTgtZGNhMWYwMjY1ZDhlXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"93","A Caça","Original title: Jagten","2012","14","1h 55m","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","8.3","Thomas Vinterberg","Thomas Vinterberg/Tobias Lindholm","https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_.jpg"
"94","Cães de Aluguel","Original title: Reservoir Dogs","1992","18","1h 39m","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","8.3","Quentin Tarantino","Quentin Tarantino/Roger Avary","https://m.media-amazon.com/images/M/MV5BOWQwZGMwMWUtYzUwNy00NDk3LTk5YjktMGQ1M2E0NmI5M2MyXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg"
"95","Lawrence da Arábia","Original title: Lawrence of Arabia","1962","14","3h 38m","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","8.3","David Lean","Robert Bolt/Michael Wilson","https://m.media-amazon.com/images/M/MV5BMmMyMmJiMzMtODkxMC00NmZjLWIxYmYtMmU2MGM4MTI0MjBhXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"96","Cidadão Kane","Original title: Citizen Kane","1941","Livre","1h 59m","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","8.3","Orson Welles","Herman J. Mankiewicz/Orson Welles/John Houseman","https://m.media-amazon.com/images/M/MV5BMjhjYzBiMzItZjgxNy00MGRmLTgyYjEtMDE1MjBiMDY4M2EwXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"97","M, o Vampiro de Dusseldorf","Original title: M - Eine Stadt sucht einen Mörder","1931","12","1h 57m","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","8.3","Fritz Lang","Thea von Harbou/Fritz Lang/Egon Jacobsohn","https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_.jpg"
"98","Viver","Original title: Ikiru","1952","Not Rated","2h 23m","A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.","8.3","Akira Kurosawa","Akira Kurosawa/Shinobu Hashimoto/Hideo Oguni","https://m.media-amazon.com/images/M/MV5BZmM0NGY3Y2MtMTA1YS00YmQzLTk2YTctYWFhMDkzMDRjZWQzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg"
"99","Intriga Internacional","Original title: North by Northwest","1959","14","2h 16m","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","8.3","Alfred Hitchcock","Ernest Lehman","https://m.media-amazon.com/images/M/MV5BMmNjMDNkN2ItMTg5Ni00ZTE3LWJhNjMtYzg1ZjFiMzZjMzg2XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"100","Se Meu Apartamento Falasse","Original title: The Apartment","1960","Livre","2h 5m","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","8.3","Billy Wilder","Billy Wilder/I.A.L. Diamond","https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_.jpg"
"101","Um Corpo que Cai","Original title: Vertigo","1958","14","2h 8m","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","8.3","Alfred Hitchcock","Alec Coppel/Samuel A. Taylor/Pierre Boileau","https://m.media-amazon.com/images/M/MV5BMjA5YWI5YzktM2JmNS00OTJiLTg4ODctYjE2YTgwMWEwNGFiXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg"
"102","O Fabuloso Destino de Amélie Poulain","Original title: Le fabuleux destin d'Amélie Poulain","2001","14","2h 2m","Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","8.3","Jean-Pierre Jeunet","Guillaume Laurant/Jean-Pierre Jeunet","https://m.media-amazon.com/images/M/MV5BZGEwNjkzYzktNzRkZC00OGUwLWE2OWEtZDg4YzE2MGRlOGQxXkEyXkFqcGdeQXVyMTU3NTI2OTky._V1_.jpg"
"103","Pacto de Sangue","Original title: Double Indemnity","1944","14","1h 47m","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","8.3","Billy Wilder","Billy Wilder/Raymond Chandler/James M. Cain","https://m.media-amazon.com/images/M/MV5BY2RlMTdiMmEtMWI2NS00NjdjLWI2ODItNzE1YzQzOTlkNGQ0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"104","Laranja Mecânica","Original title: A Clockwork Orange","1971","(Banned)","2h 16m","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","8.3","Stanley Kubrick","Stanley Kubrick/Anthony Burgess","https://m.media-amazon.com/images/M/MV5BYTE0ZGFkZDMtZTA5Ny00NjI3LWJmNTgtMzRhMDE2Zjk3YWI2XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg"
"105","Nascido para Matar","Original title: Full Metal Jacket","1987","16","1h 56m","A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.","8.3","Stanley Kubrick","Stanley Kubrick/Michael Herr/Gustav Hasford","https://m.media-amazon.com/images/M/MV5BYjFjZWNiNTQtMWRmYy00NmMxLWFkOGMtYjJiMmIyYmE3YmQwXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"106","Scarface","Scarface","1983","18","2h 50m","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","8.3","Brian De Palma","Oliver Stone/Howard Hawks/Ben Hecht","https://m.media-amazon.com/images/M/MV5BOTlmOTAzOTAtM2Y5OC00NWMwLWI2ZWMtODlmMTNmNTZhNzJjXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"107","Incêndios","Original title: Incendies","2010","14","2h 11m","Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.","8.3","Denis Villeneuve","Denis Villeneuve/Wajdi Mouawad/Valérie Beaugrand-Champagne","https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"108","Fogo Contra Fogo","Original title: Heat","1995","14","2h 50m","A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.","8.3","Michael Mann","Michael Mann","https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"109","Hamilton","Hamilton","2020","12","2h 40m","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","8.3","Thomas Kail","Lin-Manuel Miranda/Ron Chernow","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_.jpg"
"110","Up: Altas Aventuras","Original title: Up","2009","Livre","1h 36m","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","8.3","Pete Docter/Bob Peterson","Pete Docter/Bob Peterson/Tom McCarthy","https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg"
"111","O Sol é para Todos","Original title: To Kill a Mockingbird","1962","12","2h 9m","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","8.3","Robert Mulligan","Harper Lee/Horton Foote","https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"112","Golpe de Mestre","Original title: The Sting","1973","18","2h 9m","Two grifters team up to pull off the ultimate con.","8.3","George Roy Hill","David S. Ward","https://m.media-amazon.com/images/M/MV5BNGU3NjQ4YTMtZGJjOS00YTQ3LThmNmItMTI5MDE2ODI3NzY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg"
"113","A Separação","Original title: Jodaeiye Nader az Simin","2011","12","2h 3m","A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.","8.3","Asghar Farhadi","Asghar Farhadi","https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"114","Metrópolis","Original title: Metropolis","1927","Livre","2h 33m","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","8.3","Fritz Lang","Thea von Harbou/Fritz Lang","https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
"115","Duro de Matar","Original title: Die Hard","1988","14","2h 12m","A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.","8.2","John McTiernan","Roderick Thorp/Jeb Stuart/Steven E. de Souza","https://m.media-amazon.com/images/M/MV5BNzU4MWNjYzQtMDEzNS00ZDA1LWI1YTQtM2ZlMzY2MTg1MmM3XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"116","Los Angeles: Cidade Proibida","Original title: L.A. Confidential","1997","18","2h 18m","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","8.2","Curtis Hanson","James Ellroy/Brian Helgeland/Curtis Hanson","https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"
"117","Indiana Jones e a Última Cruzada","Original title: Indiana Jones and the Last Crusade","1989","Livre","2h 7m","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","8.2","Steven Spielberg","Jeffrey Boam/George Lucas/Menno Meyjes","https://m.media-amazon.com/images/M/MV5BNmU4ZDMzMDEtMWIwZS00ZGE5LWJmODUtYjUxM2VjZDcwMGE3XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"118","Taxi Driver: Motorista de Táxi","Original title: Taxi Driver","1976","14","1h 54m","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","8.2","Martin Scorsese","Paul Schrader","https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
"119","Snatch: Porcos e Diamantes","Original title: Snatch","2000","16","1h 44m","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","8.2","Guy Ritchie","Guy Ritchie","https://m.media-amazon.com/images/M/MV5BNjYzMGNhYmItYjBhMi00YmMxLWExYTQtNmNjOWQ3MWE5YTI1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg"
"120","Ladrões de Bicicletas","Original title: Ladri di biciclette","1948","10","1h 29m","In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","8.3","Vittorio De Sica","Cesare Zavattini/Luigi Bartolini/Oreste Biancoli","https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
